Date : 2025-12-02 23:03:26
Directory : d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components
Total : 206 files,  9538 codes, 173 comments, 1203 blanks, all 10914 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| vue        |        175 |      9,184 |        173 |      1,137 |     10,494 |
| TypeScript |         31 |        354 |          0 |         66 |        420 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogClose.vue                     | vue        |         13 |          0 |          3 |         16 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogContent.vue                   | vue        |         40 |          0 |          7 |         47 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogDescription.vue               | vue        |         19 |          0 |          5 |         24 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogFooter.vue                    | vue        |         13 |          0 |          3 |         16 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogHeader.vue                    | vue        |         15 |          0 |          3 |         18 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogOverlay.vue                   | vue        |         18 |          0 |          4 |         22 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogScrollContent.vue             | vue        |         50 |          0 |          7 |         57 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogTitle.vue                     | vue        |         19 |          0 |          5 |         24 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogTrigger.vue                   | vue        |         13 |          0 |          3 |         16 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\index.ts                            | TypeScript |         10 |          0 |          1 |         11 |
