"filename", "language", "JSON with Comments", "JSON", "HTML", "TypeScript", "PostCSS", "vue", "Markdown", "XML", "comment", "blank", "total"
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\checkbox\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\collapsible\Collapsible.vue", "vue", 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\collapsible\CollapsibleContent.vue", "vue", 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\collapsible\CollapsibleTrigger.vue", "vue", 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\collapsible\index.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\Dialog.vue", "vue", 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogClose.vue", "vue", 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogContent.vue", "vue", 0, 0, 0, 0, 0, 40, 0, 0, 0, 7, 47
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogDescription.vue", "vue", 0, 0, 0, 0, 0, 19, 0, 0, 0, 5, 24
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogFooter.vue", "vue", 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogHeader.vue", "vue", 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogOverlay.vue", "vue", 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogScrollContent.vue", "vue", 0, 0, 0, 0, 0, 50, 0, 0, 0, 7, 57
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogTitle.vue", "vue", 0, 0, 0, 0, 0, 19, 0, 0, 0, 5, 24
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\DialogTrigger.vue", "vue", 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dialog\index.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\Drawer.vue", "vue", 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\DrawerClose.vue", "vue", 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\DrawerContent.vue", "vue", 0, 0, 0, 0, 0, 31, 0, 0, 0, 4, 35
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\DrawerDescription.vue", "vue", 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\DrawerFooter.vue", "vue", 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\DrawerHeader.vue", "vue", 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\DrawerOverlay.vue", "vue", 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\DrawerTitle.vue", "vue", 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\DrawerTrigger.vue", "vue", 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\index.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenu.vue", "vue", 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuCheckboxItem.vue", "vue", 0, 0, 0, 0, 0, 35, 0, 0, 0, 5, 40
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuContent.vue", "vue", 0, 0, 0, 0, 0, 34, 0, 0, 0, 6, 40
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuGroup.vue", "vue", 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuItem.vue", "vue", 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuLabel.vue", "vue", 0, 0, 0, 0, 0, 20, 0, 0, 0, 4, 24
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuRadioGroup.vue", "vue", 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuRadioItem.vue", "vue", 0, 0, 0, 0, 0, 35, 0, 0, 0, 6, 41
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuSeparator.vue", "vue", 0, 0, 0, 0, 0, 20, 0, 0, 0, 4, 24
